name,domain,cluster,etymology,reason,zh,syllables,letters,risk,status_zh,tier,whois_hint
Lucora,lucora.com,A,lucid + -ora,清澈可见，柔化 SaaS 感,「澄澈可见」,3,6,,已占用,—,DOMAIN NAME found
Sightio,sightio.com,A,sight + -io,直指「被看见」，科技后缀,「视野」,3,7,,已占用,—,DOMAIN NAME found
Presio,presio.com,A,presence + -io,品牌在 AI 答案中的「存在感」,「在场」,3,6,,已占用,—,DOMAIN NAME found
Glintly,glintly.com,A,glint + -ly,微光一闪=被 AI 点到,「闪光可见」,2,7,,已占用,—,DOMAIN NAME found
Clario,clario.com,A,clarity + -io 柔化,清晰、透明，契合诚实测量,「清晰」,3,6,与 Clari 等近,已占用,—,DOMAIN NAME found
Lumora,lumora.com,A,lumen + -ora,光度隐喻可见度,「光亮」,3,6,,已占用,—,DOMAIN NAME found
Visent,visent.com,A,visible + -ent,极短，「可见的」,「可见」,2,6,,已占用,—,DOMAIN NAME found
Optora,optora.com,A,optic + -ora,光学/视角隐喻,「视角」,3,6,,已占用,—,DOMAIN NAME found
Seento,seento.com,A,seen + -o,直白「被看见」,「被看见」,2,6,,已占用,—,DOMAIN NAME found
Vizent,vizent.com,A,visible 缩写 + -ent,短、科技感,「可见」,2,6,,已占用,—,DOMAIN NAME found
Appearly,appearly.com,A,appear + -ly,出现率=核心指标,「出现」,3,8,,已占用,—,DOMAIN NAME found
Showora,showora.com,A,show + -ora,被展示、被呈现,「展示」,3,7,,已占用,—,DOMAIN NAME found
Citora,citora.com,B,cite + -ora,AI 引用=可见度核心信号,「被引用」,3,6,,已占用,—,DOMAIN NAME found
Nomio,nomio.com,B,nominate + -io,被 AI 提名推荐,「被提名」,3,5,,已占用,—,DOMAIN NAME found
Recora,recora.com,B,recommend + -ora,直指「被推荐」,「被推荐」,3,6,,已占用,—,DOMAIN NAME found
Mentio,mentio.com,B,mention + -io,被点名提及,「被提及」,3,6,,已占用,—,DOMAIN NAME found
Ansio,ansio.com,B,answer + -io,答案引擎语境,「答案」,3,5,,已占用,—,DOMAIN NAME found
Citely,citely.com,B,cite + -ly,引用追踪感,「引用地」,3,6,,已占用,—,DOMAIN NAME found
Pickora,pickora.com,B,pick + -ora,AI 挑选你的品牌,「被选中」,3,7,,已占用,—,DOMAIN NAME found
Votora,votora.com,B,vote + -ora,AI「投票」式推荐,「被投票」,3,6,,已占用,—,DOMAIN NAME found
Nodora,nodora.com,B,nod + -ora,点头认可=被推荐,「认可」,3,6,,已占用,—,DOMAIN NAME found
Shoutio,shoutio.com,B,shout-out + -io,被大声推荐,「被喊话推荐」,3,7,,已占用,—,DOMAIN NAME found
Listora,listora.com,B,list + -ora,上榜、入列,「上榜」,3,7,略偏排行榜语义,已占用,—,DOMAIN NAME found
Refera,refera.com,B,refer + -a,被转介推荐,「被转介」,3,6,,已占用,—,DOMAIN NAME found
Namedly,namedly.com,B,named + -ly,被点名,「被点名地」,3,7,,已占用,—,DOMAIN NAME found
Pulso,pulso.com,C,pulse + -o,脉搏式持续监测,「脉搏/信号」,2,5,西语 pulso=脉搏，无负面,已占用,—,DOMAIN NAME found
Tracio,tracio.com,C,trace + -io,追踪 AI 答案轨迹,「追踪」,3,6,,已占用,—,DOMAIN NAME found
Beacora,beacora.com,C,beacon + -ora,灯塔信标隐喻,「信标」,3,7,,已占用,—,DOMAIN NAME found
Signly,signly.com,C,signal + -ly,提及信号,「信号地」,2,6,,已占用,—,DOMAIN NAME found
Pingora,pingora.com,C,ping + -ora,探测式监测,「探测」,3,7,,已占用,—,DOMAIN NAME found
Pulseio,pulseio.com,C,pulse + -io,持续脉冲监测,「脉冲」,3,7,,已占用,—,DOMAIN NAME found
Tracely,tracely.com,C,trace + -ly,追踪感,「追踪地」,3,7,,已占用,—,DOMAIN NAME found
Blipora,blipora.com,C,blip + -ora,雷达光点=被检测到,「光点信号」,3,7,,已占用,—,DOMAIN NAME found
Pulsent,pulsent.com,C,pulse + -ent,短、监测感,「脉动」,2,7,,已占用,—,DOMAIN NAME found
Signent,signent.com,C,signal + -ent,信号实体化,「信号」,2,7,,已占用,—,DOMAIN NAME found
Pingly,pingly.com,C,ping + -ly,极短探测感,「探测」,2,6,,已占用,—,DOMAIN NAME found
Echoio,echoio.com,C,echo + -io,品牌在 AI 中的回声,「回声」,3,6,,已占用,—,DOMAIN NAME found
Radora,radora.com,C,radar 缩写 + -ora,雷达扫描隐喻,「雷达」,3,6,radar 类词竞争多,已占用,—,DOMAIN NAME found
Rankio,rankio.com,D,rank + -io,排名一目了然,「排名」,2,6,,已占用,—,DOMAIN NAME found
Slotly,slotly.com,D,slot + -ly,AI 答案有限名额,「席位」,2,6,,已占用,—,DOMAIN NAME found
Winora,winora.com,D,win + -ora,赢下 AI 答案,「胜出」,3,6,,已占用,—,DOMAIN NAME found
Sharely,sharely.com,D,share + -ly,份额/出现率,「份额」,2,7,,已占用,—,DOMAIN NAME found
Topora,topora.com,D,top + -ora,名列前茅,「顶尖」,3,6,,已占用,—,DOMAIN NAME found
Slotora,slotora.com,D,slot + -ora,占住 AI 推荐位,「席位」,3,7,,已占用,—,DOMAIN NAME found
Winly,winly.com,D,win + -ly,极短、胜利感,「赢」,2,5,,已占用,—,DOMAIN NAME found
Leadora,leadora.com,D,lead + -ora,领跑 AI 推荐,「领先」,3,7,,已占用,—,DOMAIN NAME found
Firstio,firstio.com,D,first + -io,首选推荐,「首选」,3,7,,已占用,—,DOMAIN NAME found
Shareio,shareio.com,D,share + -io,声量份额,「份额」,3,7,,已占用,—,DOMAIN NAME found
Placely,placely.com,D,place + -ly,排位、名次,「名次」,2,7,,已占用,—,DOMAIN NAME found
Pitchly,pitchly.com,D,pitch + -ly,推销位/推荐位,「推销位」,2,7,,已占用,—,DOMAIN NAME found
Edgely,edgely.com,D,edge + -ly,比竞品靠前,「优势」,2,6,,已占用,—,DOMAIN NAME found
Lenso,lenso.com,E,lens + -o,透镜=聚焦可见度,「透镜」,2,5,,已占用,—,DOMAIN NAME found
Beamly,beamly.com,E,beam + -ly,光束打亮品牌,「光束」,2,6,,已占用,—,DOMAIN NAME found
Glowra,glowra.com,E,glow + -ra,发光被看见,「辉光」,2,6,,已占用,—,DOMAIN NAME found
Focora,focora.com,E,focus + -ora,聚光到品牌,「聚焦」,3,6,,已占用,—,DOMAIN NAME found
Rayora,rayora.com,E,ray + -ora,光线隐喻,「光线」,3,6,,已占用,—,DOMAIN NAME found
Beamora,beamora.com,E,beam + -ora,灯塔光束,「光束」,3,7,,已占用,—,DOMAIN NAME found
Lensio,lensio.com,E,lens + -io,聚焦监测,「透镜」,3,6,,已占用,—,DOMAIN NAME found
Glowio,glowio.com,E,glow + -io,柔和发光感,「辉光」,3,6,,已占用,—,DOMAIN NAME found
Focent,focent.com,E,focus + -ent,短、聚焦,「聚焦」,2,6,,已占用,—,DOMAIN NAME found
Rayly,rayly.com,E,ray + -ly,极短光线感,「光线」,2,5,,已占用,—,DOMAIN NAME found
Spotora,spotora.com,E,spotlight + -ora,聚光灯,「聚光灯」,3,7,,已占用,—,DOMAIN NAME found
Litely,litely.com,E,light + -ly 柔化,照亮品牌,「照亮」,3,6,易联想到 lite/轻量,已占用,—,DOMAIN NAME found
Vexio,vexio.com,F,造词,短、独特、SaaS 品牌感,（无义，品牌感）,3,5,,已占用,—,DOMAIN NAME found
Zentra,zentra.com,F,造词（zen + tra）,平静专业感,「中心」联想,2,6,,已占用,—,DOMAIN NAME found
Klyro,klyro.com,F,造词,极短、现代,（无义）,2,5,,已占用,—,DOMAIN NAME found
Nexora,nexora.com,F,next + -ora 柔化,下一代可见度,「下一代」,3,6,,已占用,—,DOMAIN NAME found
Zelvio,zelvio.com,F,造词,独特、好记,（无义）,3,6,,已占用,—,DOMAIN NAME found
Quorio,quorio.com,F,造词,高级感、短,（无义）,3,6,,已占用,—,DOMAIN NAME found
Trivio,trivio.com,F,造词,轻快 SaaS 感,（无义）,3,6,,已占用,—,DOMAIN NAME found
Nexent,nexent.com,F,next + -ent,短、前瞻,「下一代」,2,6,,已占用,—,DOMAIN NAME found
Velora,velora.com,F,velocity + -ora 柔化,快速、动感,「迅捷」,3,6,,已占用,—,DOMAIN NAME found
Zolent,zolent.com,F,造词,独特、商标友好,（无义）,2,6,,已占用,—,DOMAIN NAME found
Kyvent,kyvent.com,F,造词,短、科技,（无义）,2,6,,可注册,S,NO MATCH
Trovio,trovio.com,F,造词,探索感,「探索」弱联想,3,6,,已占用,—,DOMAIN NAME found
Nexly,nexly.com,F,next + -ly,极短,「下一代」,2,5,,已占用,—,DOMAIN NAME found
Scanly,scanly.com,G,scan + -ly,免费扫描钩子,「扫描」,2,6,,已占用,—,DOMAIN NAME found
Trackio,trackio.com,G,track + -io,持续追踪,「追踪」,2,7,,已占用,—,DOMAIN NAME found
Watchra,watchra.com,G,watch + -ra,盯着 AI 答案,「监视」,2,7,,已占用,—,DOMAIN NAME found
Monily,monily.com,G,monitor + -ly,监测感,「监测」,3,6,,已占用,—,DOMAIN NAME found
Watchio,watchio.com,G,watch + -io,持续观察,「观察」,3,7,,已占用,—,DOMAIN NAME found
Scanora,scanora.com,G,scan + -ora,扫描品牌,「扫描」,3,7,,已占用,—,DOMAIN NAME found
Trackly,trackly.com,G,track + -ly,追踪感,「追踪」,2,7,,已占用,—,DOMAIN NAME found
Monitra,monitra.com,G,monitor + -a,监测品牌,「监测」,3,7,,已占用,—,DOMAIN NAME found
Checkio,checkio.com,G,check + -io,检查可见度,「检查」,3,7,,已占用,—,DOMAIN NAME found
Scoutly,scoutly.com,G,scout + -ly,侦察竞品,「侦察」,2,7,,已占用,—,DOMAIN NAME found
Watchly,watchly.com,G,watch + -ly,持续盯盘,「观察」,2,7,,已占用,—,DOMAIN NAME found
Peekio,peekio.com,G,peek + -io,一窥 AI 答案,「一窥」,3,6,,已占用,—,DOMAIN NAME found
Probeio,probeio.com,G,probe + -io,探测引擎答案,「探测」,3,7,,已占用,—,DOMAIN NAME found
Citeora,citeora.com,H,cite + -ora,引用分析核心,「引用」,3,7,,已占用,—,DOMAIN NAME found
Rankora,rankora.com,H,rank + -ora,排名+品牌感,「排名」,3,7,,已占用,—,DOMAIN NAME found
Vislio,vislio.com,H,visible + -io,可见度直指,「可见」,3,6,,已占用,—,DOMAIN NAME found
Mentora,mentora.com,H,mention + -ora,被提及,「提及」,3,7,,已占用,—,DOMAIN NAME found
Citent,citent.com,H,cite + -ent,极短引用感,「引用」,2,6,,已占用,—,DOMAIN NAME found
Rankent,rankent.com,H,rank + -ent,排名实体,「排名」,2,7,,已占用,—,DOMAIN NAME found
Sigora,sigora.com,H,signal + -ora,信号监测,「信号」,3,6,,已占用,—,DOMAIN NAME found
Askora,askora.com,H,ask + -ora,用户提问场景,「提问」,3,6,,已占用,—,DOMAIN NAME found
Prompio,prompio.com,H,prompt + -io,prompt 监测,「提示词」,3,7,略绑 prompt 概念,已占用,—,DOMAIN NAME found
Brandio,brandio.com,H,brand + -io,品牌可见度,「品牌」,3,7,,已占用,—,DOMAIN NAME found
Replyora,replyora.com,H,reply + -ora,AI 回复中的品牌,「回复」,3,8,,已占用,—,DOMAIN NAME found
